Song Name,Duration,Album,Artists,Genre,Release Date
Just Calm Down,3:11,Just Calm Down,Quinn Oulton,[],2024-09-20
memento mori (feat. YUIS),6:1,memento mori (feat. YUIS),"Marysia Osu, YUIS",[],2024-09-18
At Night,4:02,Undergrowth,Zoe's Shanghai,[],2024-09-20
Something Special,3:67,Something Special,Sebastián Mayor,[],2024-09-19
Love Lagoon,2:73,Love Lagoon,SHOLTO,[],2024-09-19
Chop Chop,4:51,Chop Chop,"Peter Somuah, Gyedu-Blay Ambolley",[],2024-09-20
Amor Enfeitiçado,2:55,Amor Enfeitiçado,"Adrian Younge, Carlos Dafé","['african-american classical', 'indie jazz']",2024-09-17
Run,3:87,Lazer Guided Melodies,Spiritualized,"['alternative rock', 'britpop', 'chamber pop', 'noise pop', 'shoegaze', 'spacegrunge']",1992-03-30
children,5:9,Hifalutin,Lowly,"['aarhus indie', 'danish indie pop', 'experimental pop']",2019-04-12
How Long Do I Have to Wait for You?,4:06,Naturally,Sharon Jones & The Dap-Kings,"['black americana', 'funk', 'retro soul', 'soul']",2005-01-25
How Long Do I Have to Wait for You?,3:68,If You Ask Me To: Victor Axelrod Productions for Daptone Records,"Sharon Jones, Victor Axelrod",[],2023-09-22
Sensi,3:06,At 333 House,Pachyman,"['puerto rican indie', 'tropical alternativo']",2020-02-07
Black Magic Woman,3:49,Dennis,Dennis Brown,"['lovers rock', 'reggae', 'roots reggae']",2017-06-23
Picarón,1:96,Snug Harbour,DirtBike,['experimental indie'],2023-07-14
Marvelous,2:37,Alright Already,Osvaldo,[],2022-04-08
The Return Of The Jedi,5:55,Underground Vibes,DJ Cam,"['downtempo', 'instrumental hip hop', 'trip hop']",1995-05-20
In / Flux,12:24,Preemptive Strike,DJ Shadow,"['downtempo', 'electronica', 'instrumental hip hop', 'trip hop']",1998-01-27
Ultramar,4:18,Ritmos en Cruz,La Ciencia Simple,"['chilean indie', 'post-rock latinoamericano', 'shoegaze chileno']",2022-10-25
Kiss You Forever,5:54,Pacific Standard Time,Poolside,"['indie soul', 'indietronica', 'nu disco']",2012-07-09
Love for the Sake of Love - A Tom Moulton Mix,7:9,Sweet Dynamite (USA Version),Claudja Barry,['hi-nrg'],1977-01-01
Reasons,3:27,Reasons,"El Michels Affair, Bobby Oroza","['afrobeat', 'funk', 'instrumental soul']",2020-06-01
Monsters,3:46,Untitled (Black Is),SAULT,"['alternative r&b', 'indie soul', 'pop soul']",2020-06-19
This Feeling I Get,3:78,Casual Encounter,Doug Shorts,[],2019-08-23
Agar,5:0,Agar,Cavolo Nero,[],2024-07-19
Streap-Tease in the Stars (The Way I Do),4:15,Psychemagik Presents Magik Cyrkles,Sirarcusa,[],2012-10-22
Elevator Music,2:82,Year of the Newt,"Bobbing, Nay Mapalo, Marcos Mena, Forrest Rice",['math pop'],2023-10-27
Cool With It,3:75,Year of the Newt,Bobbing,['math pop'],2023-10-27
Bill,4:06,Bill,Isaac Birituro & The Rail Abandon,[],2021-03-30
a word aptly spoken,3:94,triumphant procession plus brand new 4tracks,Ray Barbee,[],2009-03-18
"The ""Shag-adelic"" Austin Powers Score Medley",4:82,Austin Powers: International Man of Mystery (Original Soundtrack),George S. Clinton,[],1997-04-15
Trust Me,3:69,Trust Me,Barnaby Keen,['musica portuguesa contemporanea'],2021-05-12
Fireflies,4:86,Flying Wig,Devendra Banhart,"['chamber pop', 'freak folk', 'new weird america']",2023-09-22
Imma Let My Body Move,3:76,Love You Anyway,Devon Gilfillian,['nashville indie'],2023-04-07
Giddy Up,3:02,Giddy Up,Jenny Lewis,"['alternative country', 'chamber pop', 'indie pop', 'lilith', 'new americana']",2023-05-10
Just Woke Up Here,2:48,Quantum Flow,Richard Houghten,['glitch beats'],2022-04-20
Maak,5:29,Maak,Wah Wah Thai,[],2021-04-02
The Pop - Dub Version,4:33,The Pop,"Daniel T., Woolfy",[],2024-09-04
Fear: Life In A Dozen Years,4:38,The Last Rotation Of Earth,BC Camplight,"['chamber psych', 'new jersey indie', 'one-person band', 'psychedelic pop']",2023-05-12
AMAMA,3:17,AMAMA,Crumb,['neo-psychedelic'],2024-05-17
drifting,3:54,drifting,Night Tapes,"['chill dream pop', 'modern dream pop']",2023-12-01
Le départ,1:99,Odyssée - EP,L'Impératrice,"['french indie pop', 'french indietronica', 'french synthpop']",2015-10-12
Fish on the Sand,3:63,Fish on the Sand,Allah-Las,"['indie surf', 'neo-psychedelic', 'noise pop']",2017-09-27
Truth,4:26,Earthsong of Silence,Wax Machine,['indie psychedelic rock'],2020-03-20
Planet Caravan,9:19,Planet Caravan,Moon Duo,"['neo-kraut', 'neo-psychedelic']",2020-06-05
Incaviglia,3:25,Last Day of Summer (Remastered),White Denim,"['austin rock', 'austindie', 'neo-psychedelic']",2010-09-23
Ventura Highway,3:53,Homecoming,"America, George Martin","['album rock', 'classic rock', 'folk rock', 'mellow gold', 'soft rock']",1972-01-01
Heart Of The Country - Remastered 2012,2:39,Ram (Archive Collection),"Paul McCartney, Linda McCartney","['classic rock', 'mellow gold', 'rock', 'soft rock']",1971-05-17
Only A Fool Would Say That,2:92,Can't Buy A Thrill,Steely Dan,"['album rock', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",1972-11-01
Summer Sun,4:82,Summer Sun,Common Saints,[],2020-08-21
Welcome to Slow Air,5:63,Slow Air,Still Corners,['metropopolis'],2018-08-17
