Song Name,Duration,Album,Artists
VANITY,6:24,COYOTE,Tommy Richman
LETTERMAN,2:67,COYOTE,"Tommy Richman, Paco"
TEMPTATIONS,3:32,COYOTE,Tommy Richman
WHITNEY,2:73,COYOTE,Tommy Richman
Trying Not To Fight Myself,2:54,Trying Not To Fight Myself,Rebecca Mardal
Just Calm Down,3:11,Just Calm Down,Quinn Oulton
memento mori (feat. YUIS),6:1,memento mori (feat. YUIS),"Marysia Osu, YUIS"
At Night,4:02,Undergrowth,Zoe's Shanghai
Something Special,3:67,Something Special,Sebastián Mayor
Love Lagoon,2:73,Love Lagoon,SHOLTO
Chop Chop,4:51,Chop Chop,"Peter Somuah, Gyedu-Blay Ambolley"
Amor Enfeitiçado,2:55,Amor Enfeitiçado,"Adrian Younge, Carlos Dafé"
Run,3:87,Lazer Guided Melodies,Spiritualized
children,5:9,Hifalutin,Lowly
How Long Do I Have to Wait for You?,4:06,Naturally,Sharon Jones & The Dap-Kings
How Long Do I Have to Wait for You?,3:68,If You Ask Me To: Victor Axelrod Productions for Daptone Records,"Sharon Jones, Victor Axelrod"
Sensi,3:06,At 333 House,Pachyman
Black Magic Woman,3:49,Dennis,Dennis Brown
Picarón,1:96,Snug Harbour,DirtBike
Marvelous,2:37,Alright Already,Osvaldo
The Return Of The Jedi,5:55,Underground Vibes,DJ Cam
In / Flux,12:24,Preemptive Strike,DJ Shadow
Ultramar,4:18,Ritmos en Cruz,La Ciencia Simple
Kiss You Forever,5:54,Pacific Standard Time,Poolside
Love for the Sake of Love - A Tom Moulton Mix,7:9,Sweet Dynamite (USA Version),Claudja Barry
Reasons,3:27,Reasons,"El Michels Affair, Bobby Oroza"
Monsters,3:46,Untitled (Black Is),SAULT
This Feeling I Get,3:78,Casual Encounter,Doug Shorts
Agar,5:0,Agar,Cavolo Nero
Streap-Tease in the Stars (The Way I Do),4:15,Psychemagik Presents Magik Cyrkles,Sirarcusa
Elevator Music,2:82,Year of the Newt,"Bobbing, Nay Mapalo, Marcos Mena, Forrest Rice"
Cool With It,3:75,Year of the Newt,Bobbing
Bill,4:06,Bill,Isaac Birituro & The Rail Abandon
a word aptly spoken,3:94,triumphant procession plus brand new 4tracks,Ray Barbee
"The ""Shag-adelic"" Austin Powers Score Medley",4:82,Austin Powers: International Man of Mystery (Original Soundtrack),George S. Clinton
Trust Me,3:69,Trust Me,Barnaby Keen
Fireflies,4:86,Flying Wig,Devendra Banhart
Imma Let My Body Move,3:76,Love You Anyway,Devon Gilfillian
Giddy Up,3:02,Giddy Up,Jenny Lewis
Just Woke Up Here,2:48,Quantum Flow,Richard Houghten
Maak,5:29,Maak,Wah Wah Thai
The Pop - Dub Version,4:33,The Pop,"Daniel T., Woolfy"
Fear: Life In A Dozen Years,4:38,The Last Rotation Of Earth,BC Camplight
AMAMA,3:17,AMAMA,Crumb
drifting,3:54,drifting,Night Tapes
Le départ,1:99,Odyssée - EP,L'Impératrice
Fish on the Sand,3:63,Fish on the Sand,Allah-Las
Truth,4:26,Earthsong of Silence,Wax Machine
Planet Caravan,9:19,Planet Caravan,Moon Duo
Incaviglia,3:25,Last Day of Summer (Remastered),White Denim
Ventura Highway,3:53,Homecoming,"America, George Martin"
Heart Of The Country - Remastered 2012,2:39,Ram (Archive Collection),"Paul McCartney, Linda McCartney"
Only A Fool Would Say That,2:92,Can't Buy A Thrill,Steely Dan
Summer Sun,4:82,Summer Sun,Common Saints
Welcome to Slow Air,5:63,Slow Air,Still Corners
Broken Clouds,5:4,Clouds,Gaussian Curve
Dumpalltheguns - Jitwam Remix,3:97,Lotus Glow (Deluxe),"Adi Oasis, Jitwam"
