Song Name,Duration,Album,Artists,Artist_id,Album_id
VANITY,6:24,COYOTE,Tommy Richman,1WaFQSHVGZQJTbf0BdxdNo,7c60QdnpXI2efwnUaIzQSu
LETTERMAN,2:67,COYOTE,"Tommy Richman, Paco",1WaFQSHVGZQJTbf0BdxdNo,7c60QdnpXI2efwnUaIzQSu
TEMPTATIONS,3:32,COYOTE,Tommy Richman,1WaFQSHVGZQJTbf0BdxdNo,7c60QdnpXI2efwnUaIzQSu
WHITNEY,2:73,COYOTE,Tommy Richman,1WaFQSHVGZQJTbf0BdxdNo,7c60QdnpXI2efwnUaIzQSu
Trying Not To Fight Myself,2:54,Trying Not To Fight Myself,Rebecca Mardal,56PuDgywHPrbEFyujgPc9V,4uroNc2lk26Fl4jbFmfHgb
Just Calm Down,3:11,Just Calm Down,Quinn Oulton,2lqAPLmP9BsHPymfa6UFO7,0XPI47Ym4BJj3mmVEQp67G
memento mori (feat. YUIS),6:1,memento mori (feat. YUIS),"Marysia Osu, YUIS",0drclFaX2CCeuqnT5cfCY1,1Vug8BG2o3lrIKptDoMUO1
At Night,4:02,Undergrowth,Zoe's Shanghai,36T1dKV85iiOQQUl3WF0F5,266STCHxLfFKi4dTvlcF87
Something Special,3:67,Something Special,Sebastián Mayor,02TkhDdoH8ArEvi3O6oSZh,7bzvfBCfwXxi1uNq5Dcl1F
Love Lagoon,2:73,Love Lagoon,SHOLTO,7ExeVJhe1xFgmfbrag2v0u,6is5NXhvpUcmeQUXKShWBQ
Chop Chop,4:51,Chop Chop,"Peter Somuah, Gyedu-Blay Ambolley",556nzhldvx3leEVjIBDMqU,6vd2OeHvhmSsHj3GRbk0Za
Amor Enfeitiçado,2:55,Amor Enfeitiçado,"Adrian Younge, Carlos Dafé",4aMeIY7MkJoZg7O91cmDDd,3a8zP6BnJb4dj6X827OdAt
Run,3:87,Lazer Guided Melodies,Spiritualized,6DKmuXxXASTF6xaJwcTfjv,0kfT6lwFmXyepSvoItP4sa
children,5:9,Hifalutin,Lowly,721bfjbiX9Koqt2rO8PWOY,4ko6ecNnYMliJ7Aon2ckdS
How Long Do I Have to Wait for You?,4:06,Naturally,Sharon Jones & The Dap-Kings,6LufpoVlIYKQCu9Gjpk8B7,5io1OKXglvIexVDrBXxuF4
How Long Do I Have to Wait for You?,3:68,If You Ask Me To: Victor Axelrod Productions for Daptone Records,"Sharon Jones, Victor Axelrod",59O57msePcyTge2k7MzmlT,3WP7OnAU0FHW2XmwyhnYwq
Sensi,3:06,At 333 House,Pachyman,515f4vsvg0JQWrmt7qpR6l,5f17niu0SyO7rwUxhBNmgx
Black Magic Woman,3:49,Dennis,Dennis Brown,0UmBaQJflaHddKtf1lrA6F,2X54STO2js0qK7whLbkp1j
Picarón,1:96,Snug Harbour,DirtBike,4n2r7kDl4ZQi9fYNLSf0V0,3wFbFmK3vAvcH5dvkP9NC4
Marvelous,2:37,Alright Already,Osvaldo,1cF9THe9zDQOEEBFuiRcJ2,29VOk88KUdvPlYcKxSjraZ
The Return Of The Jedi,5:55,Underground Vibes,DJ Cam,1hwAhXzyuEUjug2pyNVSvg,3KbEXCBCtDk1gUIJrQirIA
In / Flux,12:24,Preemptive Strike,DJ Shadow,5CE2IfdYZEQGIDsfiRm8SI,0tE70YWZ0bNSEgOYl945l9
Ultramar,4:18,Ritmos en Cruz,La Ciencia Simple,1QBzzMyJtrjIGr3NSKp1A3,5CsRl4RkZgEPOrT9rH05KE
Kiss You Forever,5:54,Pacific Standard Time,Poolside,5szdY7KaSi7epwyffrbV8c,0H8umic35SHzLg26lL1ld9
