Song Name,Duration,Album,Artists,Artist_id,Album_id,Genre,Release_Date
VANITY,6:24,COYOTE,Tommy Richman,1WaFQSHVGZQJTbf0BdxdNo,7c60QdnpXI2efwnUaIzQSu,chill abstract hip hop,2024-09-27
LETTERMAN,2:67,COYOTE,"Tommy Richman, Paco",1WaFQSHVGZQJTbf0BdxdNo,7c60QdnpXI2efwnUaIzQSu,chill abstract hip hop,2024-09-27
TEMPTATIONS,3:32,COYOTE,Tommy Richman,1WaFQSHVGZQJTbf0BdxdNo,7c60QdnpXI2efwnUaIzQSu,chill abstract hip hop,2024-09-27
WHITNEY,2:73,COYOTE,Tommy Richman,1WaFQSHVGZQJTbf0BdxdNo,7c60QdnpXI2efwnUaIzQSu,chill abstract hip hop,2024-09-27
Trying Not To Fight Myself,2:54,Trying Not To Fight Myself,Rebecca Mardal,56PuDgywHPrbEFyujgPc9V,4uroNc2lk26Fl4jbFmfHgb,,2022-01-28
Just Calm Down,3:11,Just Calm Down,Quinn Oulton,2lqAPLmP9BsHPymfa6UFO7,0XPI47Ym4BJj3mmVEQp67G,,2024-09-20
memento mori (feat. YUIS),6:1,memento mori (feat. YUIS),"Marysia Osu, YUIS",0drclFaX2CCeuqnT5cfCY1,1Vug8BG2o3lrIKptDoMUO1,,2024-09-18
At Night,4:02,Undergrowth,Zoe's Shanghai,36T1dKV85iiOQQUl3WF0F5,266STCHxLfFKi4dTvlcF87,,2024-09-20
Something Special,3:67,Something Special,Sebastián Mayor,02TkhDdoH8ArEvi3O6oSZh,7bzvfBCfwXxi1uNq5Dcl1F,,2024-09-19
Love Lagoon,2:73,Love Lagoon,SHOLTO,7ExeVJhe1xFgmfbrag2v0u,6is5NXhvpUcmeQUXKShWBQ,,2024-09-19
Chop Chop,4:51,Chop Chop,"Peter Somuah, Gyedu-Blay Ambolley",556nzhldvx3leEVjIBDMqU,6vd2OeHvhmSsHj3GRbk0Za,,2024-09-20
Amor Enfeitiçado,2:55,Amor Enfeitiçado,"Adrian Younge, Carlos Dafé",4aMeIY7MkJoZg7O91cmDDd,3a8zP6BnJb4dj6X827OdAt,"african-american classical, indie jazz",2024-09-17
Run,3:87,Lazer Guided Melodies,Spiritualized,6DKmuXxXASTF6xaJwcTfjv,0kfT6lwFmXyepSvoItP4sa,"alternative rock, britpop, chamber pop, noise pop, shoegaze, spacegrunge",1992-03-30
children,5:9,Hifalutin,Lowly,721bfjbiX9Koqt2rO8PWOY,4ko6ecNnYMliJ7Aon2ckdS,"aarhus indie, danish indie pop, experimental pop",2019-04-12
How Long Do I Have to Wait for You?,4:06,Naturally,Sharon Jones & The Dap-Kings,6LufpoVlIYKQCu9Gjpk8B7,5io1OKXglvIexVDrBXxuF4,"black americana, funk, retro soul, soul",2005-01-25
How Long Do I Have to Wait for You?,3:68,If You Ask Me To: Victor Axelrod Productions for Daptone Records,"Sharon Jones, Victor Axelrod",59O57msePcyTge2k7MzmlT,3WP7OnAU0FHW2XmwyhnYwq,,2023-09-22
Sensi,3:06,At 333 House,Pachyman,515f4vsvg0JQWrmt7qpR6l,5f17niu0SyO7rwUxhBNmgx,"puerto rican indie, tropical alternativo",2020-02-07
Black Magic Woman,3:49,Dennis,Dennis Brown,0UmBaQJflaHddKtf1lrA6F,2X54STO2js0qK7whLbkp1j,"lovers rock, reggae, roots reggae",2017-06-23
Picarón,1:96,Snug Harbour,DirtBike,4n2r7kDl4ZQi9fYNLSf0V0,3wFbFmK3vAvcH5dvkP9NC4,experimental indie,2023-07-14
Marvelous,2:37,Alright Already,Osvaldo,1cF9THe9zDQOEEBFuiRcJ2,29VOk88KUdvPlYcKxSjraZ,,2022-04-08
The Return Of The Jedi,5:55,Underground Vibes,DJ Cam,1hwAhXzyuEUjug2pyNVSvg,3KbEXCBCtDk1gUIJrQirIA,"downtempo, instrumental hip hop, trip hop",1995-05-20
In / Flux,12:24,Preemptive Strike,DJ Shadow,5CE2IfdYZEQGIDsfiRm8SI,0tE70YWZ0bNSEgOYl945l9,"downtempo, electronica, instrumental hip hop, trip hop",1998-01-27
